date,zone,site,plot,pit,spp,sex,rcap,toe_num,SV_length,total_length,weight,tail,pc
6/27/89,M,RABB,A,15,CNTI,F,N,331,81,285,19,W,0
6/27/89,M,RABB,C,15,UTST,J,NA,NA,NA,NA,NA,NA,0
6/27/89,M,RABB,C,16,CNTI,NA,R,NA,NA,NA,NA,W,0
6/27/89,M,WELL,B,NA,UKLI,NA,NA,NA,NA,NA,NA,NA,0
6/27/89,T,EAST,B,4,UTST,NA,NA,NA,23,55,1,W,0
6/27/89,T,EAST,B,4,UTST,F,R,4,50,115,7,W,0
6/27/89,T,EAST,B,7,CNTI,F,N,332,82,295,12,W,0
6/27/89,T,EAST,B,10,CNTI,F,R,4001,85,284,13,W,0
6/27/89,T,EAST,B,12,UTST,NA,NA,NA,23,65,NA,W,0
6/27/89,T,WEST,A,10,CNTI,M,N,333,78,245,16,W,0
6/27/89,T,WEST,A,15,CNTI,F,R,4,71,251,13,W,0
7/18/89,C,CALI,A,NA,UKLI,NA,NA,NA,NA,NA,NA,NA,1
7/18/89,C,CALI,A,8,UTST,J,N,225,32,84,1,W,0
7/18/89,C,CALI,A,10,UTST,J,N,NA,25,67,1,W,0
7/18/89,C,CALI,A,11,UTST,J,N,231,27,74,NA,W,0
7/18/89,C,CALI,A,12,UTST,J,N,230,28,74,1,W,0
7/18/89,C,GRAV,D,NA,UKLI,NA,NA,NA,NA,NA,NA,NA,1
7/18/89,C,GRAV,D,1,UTST,J,N,NA,NA,NA,NA,W,1
7/18/89,C,GRAV,D,14,CNTI,M,N,342,76,285,16,W,0
7/18/89,C,SAND,B,15,UTST,J,N,NA,26,70,NA,W,0
7/18/89,C,SAND,C,1,CNTI,F,R,415,85,285,20,W,0
7/18/89,C,SAND,C,15,UTST,F,R,215,50,100,5,B,1
7/18/89,G,BASN,B,1,CNTE,F,N,25,80,285,15,W,0
7/18/89,G,BASN,B,14,UTST,J,NA,NA,21,52,1,W,0
7/18/89,G,IBPE,A,7,UTST,F,N,232,46,76,5,B,0
7/18/89,G,IBPE,A,10,UTST,J,NA,NA,19,52,NA,NA,0
7/18/89,G,IBPE,A,12,UTST,J,NA,NA,NA,NA,NA,NA,1
7/18/89,G,IBPE,C,4,UTST,J,NA,NA,NA,NA,NA,NA,1
7/18/89,G,IBPE,C,12,UTST,J,NA,NA,NA,NA,NA,NA,1
7/18/89,M,RABB,A,NA,UKLI,NA,NA,NA,NA,NA,NA,NA,0
7/18/89,M,RABB,C,13,UTST,NA,NA,NA,25,62,NA,W,0
7/18/89,M,WELL,B,NA,UKLI,NA,NA,NA,NA,NA,NA,NA,1
7/18/89,M,WELL,B,6,UTST,NA,NA,NA,19,51,NA,W,0
7/18/89,M,WELL,B,10,CNTI,M,N,343,97,320,34,W,0
7/18/89,M,WELL,B,12,UTST,J,NA,NA,NA,NA,NA,W,0
7/18/89,M,WELL,B,13,UTST,M,R,100,47,135,6,W,0
